     sl1_layer3_s2 | regionGas1_s2 | -2.4873708*cm -2.3976504*cm -6.27421*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |    2   1   1   3
     sl1_layer4_s2 | regionGas1_s2 | -2.4837033*cm -3.0705688*cm -5.11573*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |    2   1   1   4
     sl1_layer5_s2 | regionGas1_s2 | -2.5173148*cm -2.3945031*cm -3.95725*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad  |    2   1   1   5
     sl1_layer6_s2 | regionGas1_s2 | -2.5136474*cm -3.0674215*cm -2.79877*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad  |    2   1   1   6
            sl2_s2 | regionGas1_s2 | 2.522763*cm -4.4435357*cm 5.10402*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |    2   1   2
     sl2_layer1_s2 | regionGas1_s2 | 2.5579464*cm -3.7358516*cm 2.07237*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad  |    2   1   2   1
     sl2_layer2_s2 | regionGas1_s2 | 2.5541075*cm -4.4402412*cm 3.28503*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad  |    2   1   2   2
     sl2_layer3_s2 | regionGas1_s2 | 2.5892909*cm -3.7325572*cm 4.49769*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad  |    2   1   2   3
     sl2_layer4_s2 | regionGas1_s2 | 2.5854519*cm -4.4369468*cm 5.71035*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad  |    2   1   2   4
     sl2_layer5_s2 | regionGas1_s2 | 2.6206353*cm -3.7292628*cm 6.92301*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad  |    2   1   2   5
     sl2_layer6_s2 | regionGas1_s2 | 2.6167964*cm -4.4336524*cm 8.13567*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad  |    2   1   2   6
        region1_s3 |     root | -46.2928412*cm 80.181553*cm 219.28781*cm | ordered: zxy -30*deg 25*deg 0*deg |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |    3   1   0   0
     regionGas1_s3 | region1_s3 | 0*cm 2.3232334*cm -0*cm | 0 0 0 |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |    3   1   0   0
            sl1_s3 | regionGas1_s3 | -2.4238153*cm -3.0768633*cm -5.69497*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |    3   1   1
     sl1_layer1_s3 | regionGas1_s3 | -2.4574267*cm -2.4007976*cm -8.59117*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad  |    3   1   1   1
     sl1_layer2_s3 | regionGas1_s3 | -2.4537593*cm -3.073716*cm -7.43269*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad  |    3   1   1   2
     sl1_layer3_s3 | regionGas1_s3 | -2.4873708*cm -2.3976504*cm -6.27421*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |    3   1   1   3
     sl1_layer4_s3 | regionGas1_s3 | -2.4837033*cm -3.0705688*cm -5.11573*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |    3   1   1   4
     sl1_layer5_s3 | regionGas1_s3 | -2.5173148*cm -2.3945031*cm -3.95725*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad  |    3   1   1   5
     sl1_layer6_s3 | regionGas1_s3 | -2.5136474*cm -3.0674215*cm -2.79877*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad  |    3   1   1   6
            sl2_s3 | regionGas1_s3 | 2.522763*cm -4.4435357*cm 5.10402*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |    3   1   2
     sl2_layer1_s3 | regionGas1_s3 | 2.5579464*cm -3.7358516*cm 2.07237*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad  |    3   1   2   1
     sl2_layer2_s3 | regionGas1_s3 | 2.5541075*cm -4.4402412*cm 3.28503*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad  |    3   1   2   2
     sl2_layer3_s3 | regionGas1_s3 | 2.5892909*cm -3.7325572*cm 4.49769*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad  |    3   1   2   3
     sl2_layer4_s3 | regionGas1_s3 | 2.5854519*cm -4.4369468*cm 5.71035*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad  |    3   1   2   4
     sl2_layer5_s3 | regionGas1_s3 | 2.6206353*cm -3.7292628*cm 6.92301*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad  |    3   1   2   5
     sl2_layer6_s3 | regionGas1_s3 | 2.6167964*cm -4.4336524*cm 8.13567*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad  |    3   1   2   6
        region1_s4 |     root | -92.5856824*cm 0*cm 219.28781*cm | ordered: zxy -90*deg 25*deg 0*deg |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |    4   1   0   0
     regionGas1_s4 | region1_s4 | 0*cm 2.3232334*cm -0*cm | 0 0 0 |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |    4   1   0   0
            sl1_s4 | regionGas1_s4 | -2.4238153*cm -3.0768633*cm -5.69497*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |    4   1   1
     sl1_layer1_s4 | regionGas1_s4 | -2.4574267*cm -2.4007976*cm -8.59117*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad  |    4   1   1   1
     sl1_layer2_s4 | regionGas1_s4 | -2.4537593*cm -3.073716*cm -7.43269*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad  |    4   1   1   2
     sl1_layer3_s4 | regionGas1_s4 | -2.4873708*cm -2.3976504*cm -6.27421*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |    4   1   1   3
     sl1_layer4_s4 | regionGas1_s4 | -2.4837033*cm -3.0705688*cm -5.11573*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |    4   1   1   4
     sl1_layer5_s4 | regionGas1_s4 | -2.5173148*cm -2.3945031*cm -3.95725*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad  |    4   1   1   5
     sl1_layer6_s4 | regionGas1_s4 | -2.5136474*cm -3.0674215*cm -2.79877*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad  |    4   1   1   6
            sl2_s4 | regionGas1_s4 | 2.522763*cm -4.4435357*cm 5.10402*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |    4   1   2
     sl2_layer1_s4 | regionGas1_s4 | 2.5579464*cm -3.7358516*cm 2.07237*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad  |    4   1   2   1
     sl2_layer2_s4 | regionGas1_s4 | 2.5541075*cm -4.4402412*cm 3.28503*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad  |    4   1   2   2
     sl2_layer3_s4 | regionGas1_s4 | 2.5892909*cm -3.7325572*cm 4.49769*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad 79.1146423*cm 7.1742713*cm 89.4438328*cm 0.1323475*rad  |    4   1   2   3
     sl2_layer4_s4 | regionGas1_s4 | 2.5854519*cm -4.4369468*cm 5.71035*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad  |    4   1   2   4
     sl2_layer5_s4 | regionGas1_s4 | 2.6206353*cm -3.7292628*cm 6.92301*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad  |    4   1   2   5
     sl2_layer6_s4 | regionGas1_s4 | 2.6167964*cm -4.4336524*cm 8.13567*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad  |    4   1   2   6
        region1_s5 |     root | -46.2928412*cm -80.181553*cm 219.28781*cm | ordered: zxy -150*deg 25*deg 0*deg |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 83.6830376*cm 3.7950357*cm 89.6143798*cm 0*rad 91.8010333*cm 3.7950357*cm 97.9396162*cm 0*rad  |    5   1   0   0
     regionGas1_s5 | region1_s5 | 0*cm 2.3232334*cm -0*cm | 0 0 0 |   G4Trap | 13.98383*cm -0.1742584*rad 1.5707963*rad 80.4011111*cm 5.5747812*cm 88.028416*cm 0*rad 88.5191068*cm 5.5747812*cm 96.3536525*cm 0*rad  |    5   1   0   0
            sl1_s5 | regionGas1_s5 | -2.4238153*cm -3.0768633*cm -5.69497*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |    5   1   1
     sl1_layer1_s5 | regionGas1_s5 | -2.4574267*cm -2.4007976*cm -8.59117*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad 75.5799076*cm 6.551895*cm 85.1457644*cm -0.1323475*rad  |    5   1   1   1
     sl1_layer2_s5 | regionGas1_s5 | -2.4537593*cm -3.073716*cm -7.43269*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad 75.5799076*cm 6.483471*cm 85.0773404*cm -0.1323475*rad  |    5   1   1   2
     sl1_layer3_s5 | regionGas1_s5 | -2.4873708*cm -2.3976504*cm -6.27421*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |    5   1   1   3
     sl1_layer4_s5 | regionGas1_s5 | -2.4837033*cm -3.0705688*cm -5.11573*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |    5   1   1   4
     sl1_layer5_s5 | regionGas1_s5 | -2.5173148*cm -2.3945031*cm -3.95725*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad 75.5799076*cm 7.6692412*cm 86.2631105*cm -0.1323475*rad  |    5   1   1   5
     sl1_layer6_s5 | regionGas1_s5 | -2.5136474*cm -3.0674215*cm -2.79877*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad 75.5799076*cm 7.6008172*cm 86.1946866*cm -0.1323475*rad  |    5   1   1   6
            sl2_s5 | regionGas1_s5 | 2.522763*cm -4.4435357*cm 5.10402*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |    5   1   2
     sl2_layer1_s5 | regionGas1_s5 | 2.5579464*cm -3.7358516*cm 2.07237*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad 79.1146423*cm 6.5894701*cm 88.8590316*cm 0.1323475*rad  |    5   1   2   1
     sl2_layer2_s5 | regionGas1_s5 | 2.5541075*cm -4.4402412*cm 3.28503*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad 79.1146423*cm 6.5178461*cm 88.7874076*cm 0.1323475*rad  |    5   1   2   2
